genename,WT-Day5-EEC,KO-Day5-EEC,WT-Day5-SLEC,KO-Day5-SLEC,WT-Day8-EEC,KO-Day8-EEC,WT-Day8-SLEC,KO-Day8-SLEC,WT-Day8-MPEC,KO-Day8-MPEC
0610007P14Rik,625.9183354,410.1950109,326.831993,430.6591159,375.8387214,413.915835,348.9177149,351.9899138,430.4354732,307.4520043
0610009B22Rik,91.17553122,94.50093467,66.25132561,66.50920811,58.75117124,54.97177906,41.62110788,42.14261831,54.07498847,54.40727082
0610009L18Rik,1.307005002,1.387884018,1.416861474,1.596033029,5.914325951,10.90706561,6.800392813,8.420641575,6.074961444,10.58594777
0610009O20Rik,0.652384776,0.921518943,1.077330123,1.111417033,0.771279772,1.012496127,1.088653375,1.028759622,0.584694778,1.093231536
0610010F05Rik,27.6044366,21.56644302,29.9393502,15.43813392,8.37189532,9.439236418,6.519583765,6.213822496,7.389632273,10.40101436
0610012G03Rik,23.48366476,18.2945214,13.92021837,28.35736406,65.70985442,65.25839632,85.13746348,73.73425954,69.76599669,52.22968739
0610030E20Rik,45.08128102,57.72768347,76.46613641,76.21300145,67.14993882,54.70906061,57.66639891,53.24558303,63.58649728,71.23073082
0610037L13Rik,13.62051072,14.67463534,9.858718827,13.81855075,12.00002602,15.60495777,12.57865211,14.2332889,13.86933906,16.98016025
0610038B21Rik,0.010150539,0.049999832,0.049126114,0.040593519,0.062543835,0.030404549,0.018687687,0.004352094,0.013019313,0.047679701
0610040B10Rik,9.238154515,11.49847842,7.774610969,9.222296008,8.351425786,10.55306536,4.838199733,7.034372996,8.036576647,17.8014565
0610040F04Rik,0.728187125,0.373488414,0.257877639,0.647441941,1.431813461,0.972583487,0.851122648,1.402012938,0.392412306,0.22254075
0610040J01Rik,1.029001588,1.018555084,2.907612483,1.755086954,12.66727379,0.810833505,0,0.824275442,0.787844775,7.78969999
1010001B22Rik,1.953701434,1.717782363,0.436577233,2.270029174,2.81414722,4.9852998,1.973913033,5.622992591,3.579319892,5.420600447
1010001N08Rik,0,0,0,0,0.439311104,0.104291118,0.056834421,0.090927801,0,0
1110002E22Rik,0.128257265,0.033984243,0.029738242,0,0.181256352,0.016033199,0.104916517,0.085013382,0.014136621,0.017471722
1110002J07Rik,0.027743548,0.015813554,0,0,0.196039352,0.143610739,0.010990175,0.023981509,0.012231667,0.121147941
1110002L01Rik,0.4754734,0.366189244,0.31925209,0.438209231,0.741887169,0.696076746,0.66822642,0.438406776,0.740119758,0.824676407
1110003F10Rik,0.156519629,0.231277821,0.183209484,0.265996495,0.288207281,0.077233365,0.041426674,0.012932018,0.148776399,0.214792082
1110004E09Rik,23.83089433,21.40561928,16.08786414,15.26076533,9.433826211,13.04366853,11.24751793,9.185702374,13.35078639,18.03584426
1110004F10Rik,157.9058293,157.488344,117.9341461,135.7533858,101.1591436,124.4009021,126.1698584,127.2846518,112.2881691,132.4118712
